policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements,scenario_id,n_donors,clutter_db,rcs,donor_sigma
RANDOM,330023,71.32383981047866,0.5690255639528541,54.41314501925874,44,4,0,0,102,30,12,15,1000,100
HIGHEST_SNR,330023,177.63627184855804,1.5964873722768267,80.46922590750094,47,1,0,0,102,30,12,15,1000,100
SHORTEST_PULSE,330023,24.092900113966518,0.939565956149005,40.90074823337184,45,3,0,0,102,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330023,43.5001990775658,0.6825871699137831,40.118599012773245,47,1,0,0,102,30,12,15,1000,100
NO_PASSIVE,330024,204.8049424607101,1.8182779175038226,445.27907653515393,0,0,0,0,125,30,12,15,1000,100
RANDOM,330024,32.854133646438974,1.037260543588763,37.57339315346531,59,0,0,0,125,30,12,15,1000,100
HIGHEST_SNR,330024,40.36930903803692,0.9960137264854765,43.47872624992717,59,0,0,0,125,30,12,15,1000,100
SHORTEST_PULSE,330024,9.913044584537566,0.8514869693117912,37.65429409952555,59,0,0,0,125,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330024,34.42837842805265,0.9573558127603183,34.63773157821101,58,1,0,0,125,30,12,15,1000,100
NO_PASSIVE,330025,350.54692220771614,1.034462341204455,445.27907653515393,0,0,0,0,142,30,12,15,1000,100
RANDOM,330025,21.763990397111613,1.242597360761194,28.127053803484344,58,1,0,0,142,30,12,15,1000,100
HIGHEST_SNR,330025,3.383125196806921,0.43342795799077183,36.07035761969046,58,1,0,0,142,30,12,15,1000,100
SHORTEST_PULSE,330025,24.753271868667426,0.8660038288318896,24.478979828625555,59,0,0,0,142,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330025,24.678664594383395,1.2164126738432126,24.54962759969141,59,0,0,0,142,30,12,15,1000,100
NO_PASSIVE,330026,311.77171106258413,1.285260368341329,445.27907653515393,0,0,0,0,93,30,12,15,1000,100
RANDOM,330026,49.339250166117175,0.6723571195399415,44.71431437517854,34,0,0,0,93,30,12,15,1000,100
HIGHEST_SNR,330026,36.149007178217786,0.6728049013713934,53.77376122936963,34,0,0,0,93,30,12,15,1000,100
SHORTEST_PULSE,330026,41.14857597017941,0.9257847520798153,39.208298621046644,34,0,0,0,93,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330026,30.63371104533325,0.5428516619053491,37.40531404496246,34,0,0,0,93,30,12,15,1000,100
NO_PASSIVE,330027,896.2102557127295,3.900503696855465,445.27907653515393,0,0,0,0,149,30,12,15,1000,100
RANDOM,330027,44.27126089014164,1.2366202833063682,39.32710165035444,59,1,0,0,149,30,12,15,1000,100
HIGHEST_SNR,330027,89.11518530370249,2.298497062174305,51.92863599502732,58,2,0,0,149,30,12,15,1000,100
SHORTEST_PULSE,330027,21.827614591806316,0.3397531845653684,40.29342597228183,59,1,0,0,149,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330027,29.438222008197823,1.0250917800653778,27.473505725486593,60,0,0,0,149,30,12,15,1000,100
NO_PASSIVE,330028,635.7690907331374,0.520914696906479,445.27907653515393,0,0,0,0,170,30,12,15,1000,100
RANDOM,330028,28.353369359556442,0.6628504853274764,33.11506764664976,58,1,0,0,170,30,12,15,1000,100
HIGHEST_SNR,330028,14.78004493362625,0.8130592887099668,47.07139320886997,59,0,0,0,170,30,12,15,1000,100
SHORTEST_PULSE,330028,35.31293400650296,1.545634067262176,43.80621898035247,56,3,0,0,170,30,12,15,1000,100
METROLOGY_CONDITIONED_EIG,330028,32.01553215952264,0.6435574502769338,23.97052496382356,56,3,0,0,170,30,12,15,1000,100
