policy,seed,position_error_final_m,velocity_error_final_mps,position_sigma_final_m,used_measurements,rejected_measurements,assoc_bad_accepted,outlier_accepted,eligible_measurements,scenario_id,n_donors,clutter_db,rcs,donor_sigma
HIGHEST_SNR,302006,43.254941793996764,1.0792278571517306,187.72902468338563,27,0,0,0,27,2,4,5,10,100
SHORTEST_PULSE,302006,43.254941793996764,1.0792278571517306,187.72902468338563,27,0,0,0,27,2,4,5,10,100
METROLOGY_CONDITIONED_EIG,302006,43.254941793996764,1.0792278571517306,187.72902468338563,27,0,0,0,27,2,4,5,10,100
NO_PASSIVE,302007,177.57979851373486,3.0489235089023725,445.27923823147125,0,0,0,0,17,2,4,5,10,100
RANDOM,302007,28.53068962343722,1.9384865681111612,55.51738195795278,17,0,0,0,17,2,4,5,10,100
HIGHEST_SNR,302007,28.53068962343722,1.9384865681111612,55.51738195795278,17,0,0,0,17,2,4,5,10,100
SHORTEST_PULSE,302007,28.53068962343722,1.9384865681111612,55.51738195795278,17,0,0,0,17,2,4,5,10,100
METROLOGY_CONDITIONED_EIG,302007,28.53068962343722,1.9384865681111612,55.51738195795278,17,0,0,0,17,2,4,5,10,100
NO_PASSIVE,302008,616.3105737598846,4.335954314502046,445.27923823147125,0,0,0,0,12,2,4,5,10,100
RANDOM,302008,38.66803602957758,3.6150009132691783,135.3071059467293,12,0,0,0,12,2,4,5,10,100
HIGHEST_SNR,302008,38.66803602957758,3.6150009132691783,135.3071059467293,12,0,0,0,12,2,4,5,10,100
SHORTEST_PULSE,302008,38.66803602957758,3.6150009132691783,135.3071059467293,12,0,0,0,12,2,4,5,10,100
METROLOGY_CONDITIONED_EIG,302008,38.66803602957758,3.6150009132691783,135.3071059467293,12,0,0,0,12,2,4,5,10,100
NO_PASSIVE,302009,197.15829151078938,1.3576626952750064,445.27923823147125,0,0,0,0,0,2,4,5,10,100
RANDOM,302009,197.15829151078938,1.3576626952750064,445.27923823147125,0,0,0,0,0,2,4,5,10,100
HIGHEST_SNR,302009,197.15829151078938,1.3576626952750064,445.27923823147125,0,0,0,0,0,2,4,5,10,100
SHORTEST_PULSE,302009,197.15829151078938,1.3576626952750064,445.27923823147125,0,0,0,0,0,2,4,5,10,100
METROLOGY_CONDITIONED_EIG,302009,197.15829151078938,1.3576626952750064,445.27923823147125,0,0,0,0,0,2,4,5,10,100
